awardYear,category,id,givenName,familyName,fullName,gender,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1905,Physiology or Medicine,297,Robert,Koch,Robert Koch,male,1843-12-11,Clausthal,Clausthal-Zellerfeld,Europe,Germany,Germany,"Clausthal (now Clausthal-Zellerfeld), Germany",5/27/10,Baden-Baden,Baden-Baden,Europe,Germany,Germany,"Baden-Baden, Germany",,"Institute for Infectious Diseases, Berlin, Germany",,,
1906,Physiology or Medicine,298,Camillo,Golgi,Camillo Golgi,male,1843-07-07,Corteno,Corteno,Europe,Italy,Italy,"Corteno, Italy",1/21/26,Pavia,Pavia,Europe,Italy,Italy,"Pavia, Italy",,"Pavia University, Pavia, Italy",,,
1906,Literature,576,Giosuè,Carducci,Giosuè Carducci,male,1835-07-27,Val di Castello,Val di Castello,Europe,Tuscany,Italy,"Val di Castello, Tuscany (now Italy)",2/16/07,Bologna,Bologna,Europe,Italy,Italy,"Bologna, Italy",,,,,
1906,Chemistry,165,Henri,Moissan,Henri Moissan,male,1852-09-28,Paris,Paris,Europe,France,France,"Paris, France",2/20/07,Paris,Paris,Europe,France,France,"Paris, France",,"Sorbonne University, Paris, France",,,
1906,Physics,10,J.J.,Thomson,Joseph John Thomson,male,1856-12-18,Cheetham Hill,Cheetham Hill,Europe,United Kingdom,United Kingdom,"Cheetham Hill, United Kingdom",8/30/40,Cambridge,Cambridge,Europe,United Kingdom,United Kingdom,"Cambridge, United Kingdom",,"University of Cambridge, Cambridge, United Kingdom",,,
1906,Physiology or Medicine,299,Santiago,Ramón y Cajal,Santiago Ramón y Cajal,male,1852-05-01,Petilla de Aragón,Petilla de Aragón,Europe,Spain,Spain,"Petilla de Aragón, Spain",10/17/34,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",,"Madrid University, Madrid, Spain",,,
1906,Peace,470,Theodore,Roosevelt,Theodore Roosevelt Jr,male,1858-10-27,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",1/6/19,"Oyster Bay, NY","Oyster Bay, NY",North America,USA,USA,"Oyster Bay, NY, USA",,,,,
1907,Physics,11,Albert A.,Michelson,Albert Abraham Michelson,male,1852-12-19,Strelno,Strzelno,Europe,Prussia,Poland,"Strelno, Prussia (now Strzelno, Poland)",5/9/31,"Pasadena, CA","Pasadena, CA",North America,USA,USA,"Pasadena, CA, USA",,"University of Chicago, Chicago, IL, USA",,,
1907,Physiology or Medicine,300,Alphonse,Laveran,Charles Louis Alphonse Laveran,male,1845-06-18,Paris,Paris,Europe,France,France,"Paris, France",5/18/22,Paris,Paris,Europe,France,France,"Paris, France",,"Institut Pasteur, Paris, France",,,
1907,Chemistry,166,Eduard,Buchner,Eduard Buchner,male,1860-05-20,Munich,Munich,Europe,Bavaria,Germany,"Munich, Bavaria (now Germany)",8/13/17,Focsani,Focsani,Europe,Romania,Romania,"Focsani, Romania",,"Landwirtschaftliche Hochschule (Agricultural College), Berlin, Germany",,,
1907,Peace,471,Ernesto Teodoro,Moneta,Ernesto Teodoro Moneta,male,1833-09-20,Milan,Milan,Europe,Austrian Empire,Italy,"Milan, Austrian Empire (now Italy)",2/10/18,Milan,Milan,Europe,Italy,Italy,"Milan, Italy",,,,,
1907,Peace,472,Louis,Renault,Louis Renault,male,1843-05-21,Autun,Autun,Europe,France,France,"Autun, France",2/8/18,Barbizon,Barbizon,Europe,France,France,"Barbizon, France",,"Sorbonne University, Paris, France",,,
1907,Literature,577,Rudyard,Kipling,Rudyard Kipling,male,1865-12-30,Bombay,Bombay,Asia,British India,India,"Bombay, British India (now India)",1/18/36,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",,,,,
1908,Chemistry,167,Ernest,Rutherford,Ernest Rutherford,male,1871-08-30,Nelson,Nelson,Oceania,New Zealand,New Zealand,"Nelson, New Zealand",10/19/37,Cambridge,Cambridge,Europe,United Kingdom,United Kingdom,"Cambridge, United Kingdom",,"Victoria University, Manchester, United Kingdom",,,
1908,Peace,474,Fredrik,Bajer,Fredrik Bajer,male,1837-04-21,Næstved,Næstved,Europe,Denmark,Denmark,"Næstved, Denmark",1/22/22,Copenhagen,Copenhagen,Europe,Denmark,Denmark,"Copenhagen, Denmark",,,,,
1908,Physics,12,Gabriel,Lippmann,Gabriel Lippmann,male,1845-08-16,Hollerich,Hollerich,Europe,Luxembourg,Luxembourg,"Hollerich, Luxembourg",7/13/21,,,,,,N/A,,"Sorbonne University, Paris, France",,,
1908,Physiology or Medicine,301,Ilya,Mechnikov,Ilya Ilyich Mechnikov,male,1845-05-15,Kharkov,Kharkiv,Europe,Russian Empire,Ukraine,"Kharkov, Russian Empire (now Kharkiv, Ukraine)",7/15/16,Paris,Paris,Europe,France,France,"Paris, France",,"Institut Pasteur, Paris, France",,,
1908,Peace,473,Klas Pontus,Arnoldson,Klas Pontus Arnoldson,male,1844-10-27,Gothenburg,Gothenburg,Europe,Sweden,Sweden,"Gothenburg, Sweden",2/20/16,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",,,,,
1908,Physiology or Medicine,302,Paul,Ehrlich,Paul Ehrlich,male,1854-03-14,Strehlen,Strzelin,Europe,Prussia,Poland,"Strehlen, Prussia (now Strzelin, Poland)",8/20/15,Bad Homburg vor der Höhe,Bad Homburg vor der Höhe,Europe,Germany,Germany,"Bad Homburg vor der Höhe, Germany",,"Goettingen University, Göttingen, Germany","Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy), Frankfurt-on-the-Main, Germany",,
1908,Literature,578,Rudolf,Eucken,Rudolf Christoph Eucken,male,1846-01-05,Aurich,Aurich,Europe,East Friesland,Germany,"Aurich, East Friesland (now Germany)",9/14/26,Jena,Jena,Europe,Germany,Germany,"Jena, Germany",,,,,
1909,Peace,475,Auguste,Beernaert,Auguste Marie François Beernaert,male,1829-07-26,Ostend,Ostend,Europe,Belgium,Belgium,"Ostend, Belgium",10/6/12,Lucerne,Lucerne,Europe,Switzerland,Switzerland,"Lucerne, Switzerland",,,,,
1909,Physics,14,Ferdinand,Braun,Karl Ferdinand Braun,male,1850-06-06,Fulda,Fulda,Europe,Hesse-Kassel,Germany,"Fulda, Hesse-Kassel (now Germany)",4/20/18,"Brooklyn, NY","Brooklyn, NY",North America,USA,USA,"Brooklyn, NY, USA",,"Strasbourg University, Strasbourg, Germany (now France)",,,
1909,Physics,13,Guglielmo,Marconi,Guglielmo Marconi,male,1874-04-25,Bologna,Bologna,Europe,Italy,Italy,"Bologna, Italy",7/20/37,Rome,Rome,Europe,Italy,Italy,"Rome, Italy",,"Marconi Wireless Telegraph Co. Ltd., London, United Kingdom",,,
1909,Peace,476,Paul Henri,d'Estournelles de Constant,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",male,1852-11-22,La Flèche,La Flèche,Europe,France,France,"La Flèche, France",5/15/24,Paris,Paris,Europe,France,France,"Paris, France",,,,,
1909,Literature,579,Selma,Lagerlöf,Selma Ottilia Lovisa Lagerlöf,female,1858-11-20,Mårbacka,Mårbacka,Europe,Sweden,Sweden,"Mårbacka, Sweden",3/16/40,Mårbacka,Mårbacka,Europe,Sweden,Sweden,"Mårbacka, Sweden",,,,,
1909,Physiology or Medicine,303,Theodor,Kocher,Emil Theodor Kocher,male,1841-08-25,Bern,Bern,Europe,Switzerland,Switzerland,"Bern, Switzerland",7/27/17,Bern,Bern,Europe,Switzerland,Switzerland,"Bern, Switzerland",,"Berne University, Bern, Switzerland",,,
1909,Chemistry,168,Wilhelm,Ostwald,Wilhelm Ostwald,male,1853-09-02,Riga,Riga,Europe,Russian Empire,Latvia,"Riga, Russian Empire (now Latvia)",4/4/32,Leipzig,Leipzig,Europe,Germany,Germany,"Leipzig, Germany",,"Leipzig University, Leipzig, Germany",,,
1910,Physiology or Medicine,304,Albrecht,Kossel,Albrecht Kossel,male,1853-09-16,Rostock,Rostock,Europe,Mecklenburg,Germany,"Rostock, Mecklenburg (now Germany)",7/5/27,Heidelberg,Heidelberg,Europe,Germany,Germany,"Heidelberg, Germany",,"University of Heidelberg, Heidelberg, Germany",,,
1910,Physics,15,Johannes Diderik,van der Waals,Johannes Diderik van der Waals,male,1837-11-23,Leiden,Leiden,Europe,the Netherlands,the Netherlands,"Leiden, the Netherlands",3/8/23,Amsterdam,Amsterdam,Europe,the Netherlands,the Netherlands,"Amsterdam, the Netherlands",,"Amsterdam University, Amsterdam, the Netherlands",,,
1910,Chemistry,169,Otto,Wallach,Otto Wallach,male,1847-03-27,Koenigsberg,Kaliningrad,Europe,Germany,Russia,"Koenigsberg, Germany (now Kaliningrad, Russia)",2/26/31,Göttingen,Göttingen,Europe,Germany,Germany,"Göttingen, Germany",,"Goettingen University, Göttingen, Germany",,,
1910,Literature,580,Paul,Heyse,Paul Johann Ludwig Heyse,male,1830-03-15,Berlin,Berlin,Europe,Prussia,Germany,"Berlin, Prussia (now Germany)",4/2/14,Munich,Munich,Europe,Germany,Germany,"Munich, Germany",,,,,
1911,Peace,479,Alfred,Fried,Alfred Hermann Fried,male,1864-11-11,Vienna,Vienna,Europe,Austria,Austria,"Vienna, Austria",5/5/21,Vienna,Vienna,Europe,Austria,Austria,"Vienna, Austria",,,,,
1911,Physiology or Medicine,305,Allvar,Gullstrand,Allvar Gullstrand,male,1862-06-05,Landskrona,Landskrona,Europe,Sweden,Sweden,"Landskrona, Sweden",7/28/30,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",,"Uppsala University, Uppsala, Sweden",,,
1911,Chemistry,6,Marie,Curie,"Marie Curie, née Sklodowska",female,1867-11-07,Warsaw,Warsaw,Europe,Russian Empire,Poland,"Warsaw, Russian Empire (now Poland)",7/4/34,Sallanches,Sallanches,Europe,France,France,"Sallanches, France",,"Sorbonne University, Paris, France",,,
1911,Literature,581,Maurice,Maeterlinck,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,male,1862-08-29,Ghent,Ghent,Europe,Belgium,Belgium,"Ghent, Belgium",5/6/49,Nice,Nice,Europe,France,France,"Nice, France",,,,,
1911,Peace,478,Tobias,Asser,Tobias Michael Carel Asser,male,1838-04-28,Amsterdam,Amsterdam,Europe,the Netherlands,the Netherlands,"Amsterdam, the Netherlands",7/29/13,the Hague,the Hague,Europe,the Netherlands,the Netherlands,"the Hague, the Netherlands",,,,,
1911,Physics,16,Wilhelm,Wien,Wilhelm Wien,male,1864-01-13,Gaffken,Parusnoye,Europe,Prussia,Russia,"Gaffken, Prussia (now Parusnoye, Russia)",8/30/28,Munich,Munich,Europe,Germany,Germany,"Munich, Germany",,"Würzburg University, Würzburg, Germany",,,
1912,Physiology or Medicine,306,Alexis,Carrel,Alexis Carrel,male,1873-06-28,Sainte-Foy-lès-Lyon,Sainte-Foy-lès-Lyon,Europe,France,France,"Sainte-Foy-lès-Lyon, France",11/5/44,Paris,Paris,Europe,France,France,"Paris, France",,"Rockefeller Institute for Medical Research, New York, NY, USA",,,
1912,Peace,480,Elihu,Root,Elihu Root,male,1845-02-15,"Clinton, NY","Clinton, NY",North America,USA,USA,"Clinton, NY, USA",2/7/37,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",,,,,
1912,Literature,582,Gerhart,Hauptmann,Gerhart Johann Robert Hauptmann,male,1862-11-15,Bad Salzbrunn,Bad Salzbrunn,Europe,Prussia,Poland,"Bad Salzbrunn, Prussia (now Poland)",6/6/46,Agnetendorf,Jagniatków,Europe,Germany,Poland,"Agnetendorf, Germany (now Jagniatków, Poland)",,,,,
1912,Physics,17,Gustaf,Dalén,Nils Gustaf Dalén,male,1869-11-30,Stenstorp,Stenstorp,Europe,Sweden,Sweden,"Stenstorp, Sweden",12/9/37,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",,"Swedish Gas-Accumulator Co., Lidingö, Stockholm, Sweden",,,
1912,Chemistry,173,Paul,Sabatier,Paul Sabatier,male,1854-11-05,Carcassonne,Carcassonne,Europe,France,France,"Carcassonne, France",8/14/41,Toulouse,Toulouse,Europe,France,France,"Toulouse, France",,"Toulouse University, Toulouse, France",,,
1912,Chemistry,172,Victor,Grignard,Victor Grignard,male,1871-05-06,Cherbourg,Cherbourg,Europe,France,France,"Cherbourg, France",12/13/35,Lyon,Lyon,Europe,France,France,"Lyon, France",,"Nancy University, Nancy, France",,,
1913,Chemistry,174,Alfred,Werner,Alfred Werner,male,1866-12-12,Mulhouse,Mulhouse,Europe,France,France,"Mulhouse, France",11/15/19,Zurich,Zurich,Europe,Switzerland,Switzerland,"Zurich, Switzerland",,"University of Zurich, Zurich, Switzerland",,,
1913,Physiology or Medicine,307,Charles,Richet,Charles Robert Richet,male,1850-08-26,Paris,Paris,Europe,France,France,"Paris, France",12/4/35,Paris,Paris,Europe,France,France,"Paris, France",,"Sorbonne University, Paris, France",,,
1913,Physics,18,Heike,Kamerlingh Onnes,Heike Kamerlingh Onnes,male,1853-09-21,Groningen,Groningen,Europe,the Netherlands,the Netherlands,"Groningen, the Netherlands",2/21/26,Leiden,Leiden,Europe,the Netherlands,the Netherlands,"Leiden, the Netherlands",,"Leiden University, Leiden, the Netherlands",,,
1913,Peace,481,Henri,La Fontaine,Henri La Fontaine,male,1854-04-22,Brussels,Brussels,Europe,Belgium,Belgium,"Brussels, Belgium",5/14/43,Brussels,Brussels,Europe,Belgium,Belgium,"Brussels, Belgium",,,,,
1913,Literature,583,Rabindranath,Tagore,Rabindranath Tagore,male,1861-05-07,Calcutta,Calcutta,Asia,India,India,"Calcutta, India",8/7/41,Calcutta,Calcutta,Asia,India,India,"Calcutta, India",,,,,
1914,Physics,19,Max,von Laue,Max von Laue,male,1879-10-09,Pfaffendorf,Pfaffendorf,Europe,Germany,Germany,"Pfaffendorf, Germany",4/23/60,Berlin,Berlin,Europe,West Germany,Germany,"Berlin, West Germany (now Germany)",,"Frankfurt-on-the-Main University, Frankfurt-on-the-Main, Germany",,,
1914,Physiology or Medicine,308,Robert,Bárány,Robert Bárány,male,1876-04-22,Vienna,Vienna,Europe,Austria,Austria,"Vienna, Austria",4/8/36,Uppsala,Uppsala,Europe,Sweden,Sweden,"Uppsala, Sweden",,"Vienna University, Vienna, Austria",,,
1914,Chemistry,175,Theodore W.,Richards,Theodore William Richards,male,1868-01-31,"Germantown, PA","Germantown, PA",North America,USA,USA,"Germantown, PA, USA",4/2/28,"Cambridge, MA","Cambridge, MA",North America,USA,USA,"Cambridge, MA, USA",,"Harvard University, Cambridge, MA, USA",,,
1915,Physics,21,Lawrence,Bragg,William Lawrence Bragg,male,1890-03-31,Adelaide,Adelaide,Oceania,Australia,Australia,"Adelaide, Australia",7/1/71,Ipswich,Ipswich,Europe,United Kingdom,United Kingdom,"Ipswich, United Kingdom",,"Victoria University, Manchester, United Kingdom",,,
1915,Chemistry,176,Richard,Willstätter,Richard Martin Willstätter,male,1872-08-13,Karlsruhe,Karlsruhe,Europe,Germany,Germany,"Karlsruhe, Germany",8/3/42,Locarno,Locarno,Europe,Switzerland,Switzerland,"Locarno, Switzerland",,"Munich University, Munich, Germany",,,
1915,Literature,584,Romain,Rolland,Romain Rolland,male,1866-01-29,Clamecy,Clamecy,Europe,France,France,"Clamecy, France",12/30/44,Vézelay,Vézelay,Europe,France,France,"Vézelay, France",,,,,
1915,Physics,20,William,Bragg,Sir William Henry Bragg,male,1862-07-02,Wigton,Wigton,Europe,United Kingdom,United Kingdom,"Wigton, United Kingdom",3/12/42,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",,"University College, London, United Kingdom",,,
1916,Literature,585,Verner,von Heidenstam,Carl Gustaf Verner von Heidenstam,male,1859-07-06,Olshammar,Olshammar,Europe,Sweden,Sweden,"Olshammar, Sweden",5/20/40,Övralid,Övralid,Europe,Sweden,Sweden,"Övralid, Sweden",,,,,
1917,Physics,22,Charles Glover,Barkla,Charles Glover Barkla,male,1877-06-07,Widnes,Widnes,Europe,United Kingdom,United Kingdom,"Widnes, United Kingdom",10/23/44,Edinburgh,Edinburgh,Europe,Scotland,Scotland,"Edinburgh, Scotland",,"Edinburgh University, Edinburgh, United Kingdom",,,
1917,Literature,587,Henrik,Pontoppidan,Henrik Pontoppidan,male,1857-07-24,Fredericia,Fredericia,Europe,Denmark,Denmark,"Fredericia, Denmark",8/21/43,Ordrup,Ordrup,Europe,Denmark,Denmark,"Ordrup, Denmark",,,,,
1917,Literature,586,Karl,Gjellerup,Karl Adolph Gjellerup,male,1857-06-02,Roholte,Roholte,Europe,Denmark,Denmark,"Roholte, Denmark",10/11/19,Klotzsche,Klotzsche,Europe,Germany,Germany,"Klotzsche, Germany",,,,,
1918,Chemistry,177,Fritz,Haber,Fritz Haber,male,1868-12-09,Breslau,Wroclaw,Europe,Prussia,Poland,"Breslau, Prussia (now Wroclaw, Poland)",1/29/34,Basel,Basel,Europe,Switzerland,Switzerland,"Basel, Switzerland",,"Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie, Berlin-Dahlem, Germany",,,
1918,Physics,23,Max,Planck,Max Karl Ernst Ludwig Planck,male,1858-04-23,Kiel,Kiel,Europe,Schleswig,Germany,"Kiel, Schleswig (now Germany)",10/4/47,Göttingen,Göttingen,Europe,West Germany,Germany,"Göttingen, West Germany (now Germany)",,"Berlin University, Berlin, Germany",,,
1919,Literature,588,Carl,Spitteler,Carl Friedrich Georg Spitteler,male,1845-04-24,Liestal,Liestal,Europe,Switzerland,Switzerland,"Liestal, Switzerland",12/29/24,Lucerne,Lucerne,Europe,Switzerland,Switzerland,"Lucerne, Switzerland",,,,,
1919,Physics,24,Johannes,Stark,Johannes Stark,male,1874-04-15,Schickenhof,Schickenhof,Europe,Germany,Germany,"Schickenhof, Germany",6/21/57,Traunstein,Traunstein,Europe,West Germany,Germany,"Traunstein, West Germany (now Germany)",,"Greifswald University, Greifswald, Germany",,,
1919,Physiology or Medicine,309,Jules,Bordet,Jules Bordet,male,1870-06-13,Soignies,Soignies,Europe,Belgium,Belgium,"Soignies, Belgium",4/6/61,Brussels,Brussels,Europe,Belgium,Belgium,"Brussels, Belgium",,"Brussels University, Brussels, Belgium",,,
1919,Peace,483,Woodrow,Wilson,Thomas Woodrow Wilson,male,1856-12-28,"Staunton, VA","Staunton, VA",North America,USA,USA,"Staunton, VA, USA",2/3/24,"Washington, DC","Washington, DC",North America,USA,USA,"Washington, DC, USA",,,,,
1920,Physiology or Medicine,310,August,Krogh,Schack August Steenberg Krogh,male,1874-11-15,Grenå,Grenå,Europe,Denmark,Denmark,"Grenå, Denmark",9/13/49,Copenhagen,Copenhagen,Europe,Denmark,Denmark,"Copenhagen, Denmark",,"Copenhagen University, Copenhagen, Denmark",,,
1920,Physics,25,Charles Edouard,Guillaume,Charles Edouard Guillaume,male,1861-02-15,Fleurier,Fleurier,Europe,Switzerland,Switzerland,"Fleurier, Switzerland",6/13/38,Sèvres,Sèvres,Europe,France,France,"Sèvres, France",,"Bureau International des Poids et Mesures (International Bureau of Weights and Measures), Sèvres, France",,,
1920,Literature,589,Knut,Hamsun,Knut Pedersen Hamsun,male,1859-08-04,Lom,Lom,Europe,Norway,Norway,"Lom, Norway",2/19/52,Grimstad,Grimstad,Europe,Norway,Norway,"Grimstad, Norway",,,,,
